total_rooms,population,median_income,median_house_value
7052,2197,3.7252,167100
4323,1479,6.0758,226800
4799,2554,2.6582,122800
3490,2818,2.8977,126200
1810,1257,3.8355,111700
2650,1537,3.4432,106700
1210,1294,2.3636,88300
4864,2780,5.6168,175400
447,2886,4.2578,183300
3580,1688,7.7814,288700
3068,985,4.2009,238000
4257,1293,3.7139,196700
3619,1506,7.2013,353600
2320,1408,6.3369,256000
1969,805,7.6012,310800
7684,2812,6.3401,387300
3549,1571,5.3705,363500
5744,2104,5.1482,500001
2656,1349,4.25,83200
2896,1165,6.4559,392900
3605,1682,5.8407,202900
2129,932,2.5868,146900
2576,1284,3.3958,130400
1254,729,3.495,118000
1987,1369,2.4464,122600
1644,1269,2.6913,108300
1970,1036,3.2083,122800
2450,1823,2.837,111200
2787,2647,2.2765,98100
637,590,1.9659,85700
763,851,1.7292,79200
1129,1378,3.0057,96900
1407,1684,2.1944,95700
1801,2556,2.4716,102500
2050,1044,4.8281,137000
3194,2088,4.1779,159100
248,119,2.125,416700
4887,2637,4.0611,158000
1005,513,2.4375,181300
8010,3920,5.536,204800
5687,2677,6.5069,243400
2422,810,6.1935,293200
4814,1808,8.798,436600
3970,1202,3.4115,184800
5232,3041,5.826,247900
3274,1312,8.1611,348000
1743,943,5.9339,286000
1343,650,7.2648,363200
2516,781,5.6197,271600
2007,1033,5.6754,275900
334,130,4.875,284100
3877,1815,8.4839,406700
2196,949,8.6573,354000
2121,913,5.9328,255900
2298,1071,6.5587,239000
3006,1291,6.2083,242700
2927,1710,3.6219,176600
2788,1140,5.3368,233500
1526,831,3.0284,115800
1461,1014,2.4667,106000
1688,622,3.6,136400
1214,701,2.7083,116300
2446,1209,4.3958,145600
2264,1031,3.375,144300
1609,624,5.4689,158200
2750,1410,3.3836,144900
2621,1074,4.7176,166400
1041,558,1.9236,117200
2501,1182,1.4464,113200
465,349,2.0893,112500
1171,1479,2.25,90500
2360,2623,2.5048,100000
3393,2039,3.9336,151000
4420,2373,3.449,149100
2107,1138,4.4042,159100
1538,835,5.5779,234800
4713,2197,7.5426,294800
3485,1740,6.7543,251900
3388,1395,8.4471,351300
2708,1140,6.2899,275000
5736,2529,6.4114,278700
2319,1004,5.133,316100
2649,1238,8.0409,337900
2411,703,7.8061,331400
6814,2175,10.49,500001
2223,628,4.3603,248800
1638,572,13.0502,500001
3484,1469,5.4188,402200
7468,3033,5.49,239300
2174,603,3.3967,249400
2737,910,3.5729,370800
2579,1155,2.0441,42100
5897,2728,4.15,85700
5735,2623,4.8494,87200
1740,850,2.5812,91700
3430,1284,8.5282,360100
2524,965,8.0103,395500
1692,857,6.9418,310500
3628,1488,7.0844,325000
3995,1523,6.075,254100
3229,1289,6.3842,307100
2272,933,8.8204,390500
1971,939,3.4634,145300
1855,1109,2.2429,150000
1151,593,3.6667,166300
1426,954,3.0357,151500
2462,1117,3.2321,162500
3659,1773,3.9227,157200
2454,1165,2.9474,139600
2072,964,2.8702,137000
2081,1008,2.587,138100
4043,2174,2.2244,114900
5129,2533,3.625,113600
2341,2138,2.3347,104000
960,831,2.5391,108600
2081,1332,4.7872,147600
3657,2079,4.2054,159900
2137,1151,5.753,185500
5616,3019,5.5425,202300
3358,1690,6.7544,207900
1387,855,5.411,201100
8527,4597,6.2242,237900
3173,1555,6.7079,250800
3299,1967,5.5085,223300
5175,2717,6.1493,257800
4065,1962,6.2177,256600
1932,860,7.1497,274000
3745,1648,7.5488,278100
1684,781,6.8667,279600
4552,1918,7.5791,288100
4186,1794,9.6986,357600
3016,1172,7.5196,315600
4277,1642,8.0082,286600
2483,1357,5.5545,214200
2626,1302,4.0167,189600
809,334,2.3846,500001
1261,609,5.1024,312700
2073,952,5.0877,288100
2737,1128,2.8,72000
2115,927,6.1935,115700
3661,1613,3.0687,63500
2846,1221,7.7234,304100
3162,1145,5.3525,191700
1263,601,3.875,174000
2969,1326,4.3438,155700
4418,2417,2.7266,101000
1840,1278,3.5036,123400
1592,1182,2.4583,110400
2833,1717,3.2062,167500
3260,1973,4.6563,162000
2295,1284,5.2551,194300
1543,776,3.0598,99700
10534,4656,5.7797,309200
10175,4762,4.7341,237400
5774,3086,4.4063,202200
3859,1972,5.7871,227400
3588,1695,6.1401,243200
3164,1517,6.7921,266000
1213,565,7.2592,314800
1614,692,7.9294,280300
3289,1345,4.6863,184400
3157,1695,3.7609,222300
2102,1003,4.7981,170800
2423,1366,4.8906,181800
1258,545,2.9762,184400
1645,1490,3.4792,126400
2782,983,2.1935,183300
366,128,8.163,250000
2728,1081,1.6393,500001
3571,1409,4.6518,277800
1679,783,5.3999,300000
2994,903,6.6852,500001
3253,1408,5.2043,95700
3811,1518,5.5551,142500
2969,1644,3.4338,54900
1589,853,4.2292,64400
4082,1996,6.7813,286300
1033,486,4.1719,213500
4791,1871,6.9532,277000
2181,1133,5.7214,259400
3190,1414,5.5292,208600
7392,3841,2.8326,163000
1547,773,2.9812,148800
2459,1230,3.0978,137200
5662,3067,3.3482,137300
1775,1067,4.0375,121300
2626,2204,1.7806,135000
1859,1070,2.5395,187500
574,321,3.9107,186500
2859,1946,3.0396,124300
7326,5718,3.2073,123500
5218,2701,3.929,143100
5830,2897,6.2403,257400
2962,1295,6.0689,248000
1956,969,6.8154,265900
3913,1646,7.2147,303900
2327,899,14.9009,500001
3473,1569,8.8636,314000
10008,3550,10.1122,500001
2262,1016,6.065,315500
2840,1363,7.618,341400
3621,1546,5.753,322800
2428,959,6.2661,268500
2930,1481,6.323,480800
4173,1649,6.3568,294300
2232,1072,4.245,214500
3084,2557,2.8357,106300
1786,727,5.0527,231400
4458,1731,6.126,285600
1709,632,1.7868,45500
1131,520,4.0167,87500
3151,1335,5.5773,109000
2915,1271,7.9627,345400
2427,794,2.6929,119300
3759,1722,2.6074,137500
1437,724,2.725,140200
4255,2129,4.5185,142500
4136,2026,3.2344,128200
873,649,2.7986,114400
1881,1337,2.5536,144000
1875,1055,4.3264,128900
707,561,2.5781,111600
3178,1467,5.2541,237100
4246,1933,6.9501,225700
2630,1256,8.2953,350500
3783,1843,5.7559,215800
2592,1279,6.9741,262000
4265,2025,6.4598,282700
3010,1649,4.0221,236200
2150,1194,5.4622,227000
2205,1333,3.475,279500
3258,1464,6.5413,332000
3320,1432,7.9283,348100
6678,2877,7.5177,330000
3856,1646,6.8007,318300
1764,705,8.3275,384200
1767,801,6.5394,272000
5041,2396,6.0868,282900
2142,1176,3.4455,325000
7374,3214,4.538,278200
1223,505,4.6607,173000
3499,1480,3.86,300000
2595,1728,3.668,243800
2020,679,5.756,305600
2683,1154,5.8625,109400
2657,1426,3.5931,71900
2678,1473,3.858,70200
1719,1098,3.625,121800
4674,2769,4.1448,137300
1979,1117,3.7802,107300
1552,1326,3.7969,128400
732,431,2.9107,95300
2054,2271,2.3049,150000
2834,1815,4.7357,162500
5301,2870,3.5954,163000
4905,2711,5.7021,193100
8301,3941,6.2141,252200
211,125,1.9659,500001
3388,1249,6.1863,355600
3038,1501,5.5584,241700
4428,1525,5.2325,286800
2957,1639,5.0686,225600
9653,4732,3.7361,197200
1021,301,2.625,80600
2092,877,3.0461,216900
8039,3445,4.1678,190900
1204,469,3.6196,119900
3283,1512,3.3125,138500
2443,1033,4.1379,183300
2112,703,6.9343,298500
2459,1054,7.1736,262100
5261,1460,6.8279,279000
7474,2969,8.7591,434700
2351,834,5.5677,245400
3458,1156,6.3579,336700
2208,1423,3.5915,305600
1857,881,3.8403,350000
1577,764,4.1563,320800
17715,7665,7.9068,349100
11250,4952,5.6785,239500
567,2688,1.875,212500
555,1492,2.2813,125000
2637,1385,4.1739,158700
1276,1216,2.5972,134300
2744,1411,4.2639,154200
1840,1187,3.8875,129200
1948,1286,3.6,139300
1458,912,3.625,160400
1950,1054,4.625,222100
4098,1859,2.9811,231800
3467,2163,3.4267,164400
10856,6474,3.851,137200
2945,1293,8.111,308900
2497,1357,4.5909,241800
2520,1338,5.8898,242800
3046,888,2.6848,74100
2280,669,2.3438,72300
3329,1312,3.5521,229800
3011,893,2.3387,74800
2530,1066,4.6336,187500
3673,1846,4.877,144300
3289,1285,4.045,226000
4907,1883,10.4415,453800
2460,962,7.3878,318300
2486,876,6.1007,340900
2198,883,13.1477,487000
1680,617,8.583,397700
2681,830,5.5507,345700
3894,1490,6.5206,368500
2867,978,3.1477,291200
3241,1592,2.4952,181800
1473,785,3.2566,151800
2742,1761,3.2481,128800
4100,2580,3.7321,134200
2209,1718,1.9643,113200
1841,1243,4.0614,107000
2220,1662,2.7321,104300
2902,1652,5.6029,161800
1781,860,6.5958,236800
4363,2410,5.4824,179700
5622,3108,5.7763,206700
13290,6931,5.228,187800
1230,380,2.2969,67500
1362,378,1.9,162500
2322,662,3.1679,110000
5777,1711,2.7634,86900
1144,365,2.8583,105800
2653,774,2.49,81100
2033,618,2.5685,80400
4866,1909,4.9821,244800
1672,704,5.1129,251300
3617,1176,5.133,324000
3623,1129,5.7281,500001
1889,616,3.8992,500001
2916,1870,3.625,55000
6459,2487,6.2089,261800
3457,1344,5.8891,226000
1543,1355,3.5313,117800
2345,1897,2.4375,112100
1350,1251,2.9063,115200
5173,3502,3.8438,130800
4038,2716,4.1339,135000
1921,1430,2.3406,122600
1025,854,2.2596,119400
498,368,1.4063,98800
344,315,3.1786,117800
975,809,2.8929,118100
2758,2877,2.0734,113300
3827,3367,3.15,129700
1967,1459,3.0375,118100
2340,1213,4.125,213000
2612,832,2.6759,120600
590,178,4.8611,186800
6388,2129,7.8915,420600
4549,1238,6.1785,295900
5112,1530,10.3983,500001
2168,654,9.8321,500001
2357,1110,3.1755,81700
3494,1391,5.3637,214700
2742,2477,3.5072,121900
2723,1847,2.6779,136000
1613,911,3.4398,134300
1868,947,4.2415,140100
2504,1550,3.0294,135700
2438,1508,2.8983,129200
1391,727,1.4722,137500
1185,1466,2.625,94300
2452,3029,2.1354,110700
3623,3712,3.4609,123300
2318,1904,3.7454,116400
9755,4662,5.6501,254900
37937,16122,7.4947,366300
5416,1753,6.9544,314000
328,391,4.1167,87500
4134,2103,5.6877,231400
1889,686,3.4706,241700
2116,662,3.5625,180800
2753,857,3.7422,229800
1720,612,7.8239,500001
6564,1720,4.89,454100
5411,2243,4.3148,240700
8069,4369,3.2756,156800
3094,1672,4.2143,146900
2824,1797,3.6359,135100
1067,600,4.0368,139100
2550,1246,1.6006,146200
1548,1131,2.63,127300
1279,444,5.2269,161000
62,44,0.4999,112500
24,46,1.625,67500
1171,1126,1.9762,105800
477,502,2.0156,112500
1480,1511,1.9718,110600
378,503,2.1908,94600
1293,1494,1.6645,93300
437,469,1.7206,107500
2948,2600,3.125,113600
22128,10450,6.1287,289600
984,364,7.5839,426900
3491,1496,6.6207,270500
2464,1241,8.7603,362500
2849,878,3.2841,158300
2499,1111,5.5342,182300
2499,781,3.1779,186500
4944,1727,4.9,255600
8711,3173,5.0907,378200
2014,1027,3.9261,101300
18,8,1.625,275000
2981,1694,2.9541,106700
16759,7249,7.4837,358700
4935,2874,3.9825,180500
4086,1973,2.621,202200
2263,1677,2.9388,139200
1538,1173,2.3156,109800
1157,677,2.8594,127200
508,384,1.9583,92600
1831,1625,1.9937,103600
3839,4711,2.3859,116200
2242,2052,3.4464,113000
1914,1564,2.8347,115800
9662,2497,6.7172,292400
1092,457,5.1165,184200
4838,2090,6.6536,307800
3973,1971,6.4265,263700
3182,1663,7.0592,288200
3666,1400,10.1316,500001
3764,1448,8.7124,410500
3086,1262,6.4415,300700
582,199,7.1193,500001
8974,3754,8.2653,374000
941,366,4.3636,148400
3011,1359,7.9739,368700
4508,1993,10.4498,386100
4321,2025,8.3634,355100
4025,2042,7.9125,344900
3085,1176,7.9794,426100
2105,712,10.6349,500001
3224,1310,8.4614,391900
3832,1332,5.0044,381200
1998,1124,3.75,180900
2976,2452,3.0638,113600
5415,2061,7.3681,353100
4380,1913,6.7274,266400
3973,1373,9.8074,417000
3532,1200,11.0124,500001
2815,1181,6.5743,278700
4050,1986,7.5847,375700
1646,859,5.5631,227800
1939,928,8.1111,379800
2446,1315,3.7147,137500
3636,1486,5.5464,207500
1392,681,5.4248,187200
500,261,5.0631,154000
1413,744,3.7988,184100
4329,1913,4.5094,160200
247,167,3.7059,237500
2024,617,6.7861,499100
3090,1105,4.1699,373700
3404,1134,7.2217,500001
1033,462,3.2708,384700
3116,1105,5.1837,445600
3590,1070,4.4464,500001
10263,6163,3.8803,120000
7798,3710,5.8819,260500
7079,3205,3.0735,212300
2643,1862,3.7177,177200
3610,2899,3.9784,113500
1056,964,2.4464,128700
2933,1886,3.9224,131300
32054,15507,6.0191,253900
556,179,8.4411,500001
6239,2923,6.5437,268200
9729,4160,8.9088,415300
1800,871,6.6678,301900
5609,2624,5.3307,169600
4390,2146,6.1504,266000
3781,1665,7.2554,335600
6208,2443,9.1808,413700
1986,826,7.7752,380000
9792,3744,10.1714,481500
2260,719,11.4537,500001
974,428,4.6141,195400
2207,1081,7.3518,331200
1663,597,5.409,233900
4702,2529,5.1299,238900
3400,1575,6.0961,295500
2500,1027,6.115,315600
1750,852,4.6793,236800
1994,849,4.0187,235600
1833,515,6.6178,500001
2,6,2.375,137500
2986,1355,3.2765,165000
2426,1319,4.8125,224500
3814,1881,4.4722,215600
1664,1024,3.5192,190500
18690,9427,6.4266,315600
8562,3822,6.0829,252600
10484,4005,8.3931,365300
10535,4409,6.67,283200
3596,1292,8.5403,451300
4349,1680,6.9014,439000
2037,796,11.0546,487200
2955,1074,9.3845,500001
2893,983,13.466,500001
8240,3318,7.2074,291300
6339,3132,7.1069,313400
3114,1641,6.2162,283200
1593,832,4.4286,239500
6259,3785,6.3298,247100
1416,636,5.1741,227700
3067,1275,8.7385,340000
1532,679,5.7115,313900
1875,890,6.5783,244800
1633,928,5.7858,265900
1998,818,6.8722,326100
2636,1137,7.2118,311500
2106,1002,8.735,375300
2057,658,7.866,500001
5066,1915,3.821,452100
5039,2654,4.7969,211700
5153,2949,3.5603,174600
4536,2485,4.1118,125900
4240,1885,6.2384,247600
3351,1535,5.0869,230600
5819,2306,4.6315,277500
3760,1485,7.8537,354900
5954,3107,4.2566,206100
3038,1568,5.6403,233000
2971,1180,11.1228,500001
2021,1081,4.3269,231400
3548,1506,6.925,290300
4138,2442,4.7804,242000
5436,2046,8.7496,349500
2655,1017,6.9014,366800
3058,1197,5.3903,286600
2890,1300,6.5616,290200
3569,1540,5.2998,247200
2617,1317,4.821,201400
2745,1429,6.8219,325500
2099,873,7.9887,328000
1800,874,4.2083,251000
1161,630,3.3438,333300
2032,862,6.9133,274100
623,396,3.631,225000
2638,1179,5.7759,240000
2487,1147,8.284,302500
3345,1525,6.7962,329100
2542,1022,4,223400
4447,1680,8.8693,450400
32,26,4.1944,270800
3236,1289,11.1121,493000
1757,821,4.1304,433300
2017,783,4.1591,500001
1152,519,3.053,500001
1124,598,1.8984,54300
7063,3100,4.8229,192600
3481,1866,3.6201,150400
1935,1126,3.8929,144600
18448,7775,7.7876,348900
9197,4332,4.9589,282100
3252,1546,5.8243,297900
2968,1430,5.3339,371700
2265,904,9.2327,461300
4491,2457,6.0591,233500
133,95,3.5625,235000
2819,1019,12.2092,500001
3154,1404,8.9257,431800
2765,1666,6.0531,230700
5950,4528,4.2564,204600
3114,2045,3.75,211900
4624,1852,7.2392,334600
2053,835,5.5654,281800
2365,1197,3.7031,227800
3498,1574,5.021,252200
2696,1908,3.3047,216900
3056,1508,4.7273,234200
5471,2828,3.5719,252800
4022,2334,3.0305,140600
1256,880,2.4233,450000
1964,913,5.1583,192200
1545,788,4.5469,500001
3279,1447,7.4581,296600
2435,1194,7.2025,275000
1567,675,5.2124,199600
2440,1113,4.6019,242500
